Artikelnummer;Artikelbez. D.;Artikelbez. E.;Bestellnr.;Artikelkat.Code;Produktgrp.Code;Status;Artikel-Land;Preiseinheit;Mengeneinheit;Anzahl VE;WaehrungsKZ;HEK-Monacor;UVP-Monacor;HEK-Monacor-Aen.;UVP-Monacor-Aen.;Brand-Bezeichnung;EAN-Code;Katalogseite;Katalogseite Neu;Gewicht per;Brutto-Gewicht;Netto-Gewicht;Zollcode;Analogartikel;Anz.Umverpackung;Anz.Exportkarton;EuroKZ;
AC-601;Audio-Verbindungskabel;Audio Connection Cable;0065630;4;1;STANDARD;CN;0;STUECK;1;USD;4,2;6,79;0;0;MONACOR;4007754159493;C113;;1;0,175;0,17;85444290900;;1;125;Nein;
AC-71/3,5MM;Telefonadapter;Telephone Pick-Up;0210010;4;6;STANDARD;TW;0;STUECK;1;USD;3,8;8,99;0;0;MONACOR;4007754000368;C158;;1;0,035;0,035;85444210000;;50;500;Nein;
ACA-120;Audio-Kabel-Adapter;Audio Cable Adaptor;0061670;4;1;STANDARD;TW;0;STUECK;1;USD;5,9;9,49;0;0;MONACOR;4007754000375;C113;;1;0,068;0,061;85444290900;;25;250;Nein;
ACA-1235;Audio-Kabel-Adapter;Audio Cable Adaptor;0061900;4;1;STANDARD;TW;0;STUECK;1;USD;4,9;7,79;0;0;MONACOR;4007754000382;C113;;1;0,062;0,054;85444290900;;20;200;Nein;
ACA-15/1;Audio-Kabel-Adapter;Audio Cable Adaptor;0060050;4;6;STANDARD;CN;0;STUECK;1;USD;2,4;5,79;0;0;MONACOR;4007754000399;C116;;1;0,044;0,039;85444290900;;1;300;Nein;
ACA-15/2;Audio-Kabel-Adapter;Audio Cable Adaptor;0061660;4;6;STANDARD;CN;0;STUECK;1;USD;2,5;5,99;0;0;MONACOR;4007754000412;C116;;1;0,043;0,039;85444290900;;1;300;Nein;
ACA-15/3;Audio-Kabel-Adapter;Audio Cable Adaptor;0062820;4;6;STANDARD;CN;0;STUECK;1;USD;1,85;4,49;0;0;MONACOR;4007754058239;C116;;1;0,03;0,026;85444290900;;1;500;Nein;
ACA-15/4;Audio-Kabel-Adapter;Audio Cable Adaptor;0062910;4;6;STANDARD;CN;0;STUECK;1;USD;1,9;4,79;0;0;MONACOR;4007754058246;C116;;1;0,03;0,027;85444290900;;1;500;Nein;
ACA-1535;Audio-Kabel-Adapter;Audio Cable Adaptor;0062740;4;6;STANDARD;CN;0;STUECK;1;USD;1,8;4,29;0;0;MONACOR;4007754073980;C113;;1;0,023;0,016;85444290900;;100;500;Nein;
ACA-1635;Audio-Kabel-Adapter;Audio Cable Adaptor;0064390;4;1;STANDARD;CN;0;STUECK;1;USD;1,9;2,99;0;0;MONACOR;4007754101515;C113;;1;0,046;0,042;85444290900;;1;250;Nein;
ACA-1735;Audio-Kabel-Adapter;Audio Cable Adaptor;0065180;4;1;STANDARD;CN;0;STUECK;1;USD;2,6;4,29;0;0;MONACOR;4007754143355;C113;;1;0,062;0,057;85444290900;;1;250;Nein;
ACA-1935;Audio-Kabel-Adapter;Audio Cable Adaptor;0066740;4;1;STANDARD;CN;0;STUECK;1;USD;8,7;13,99;0;0;MONACOR;4007754183535;C113;;1;0,274;0,259;85444290900;;1;60;Nein;
ACA-356S;Audio-Adapterkabel;Audio Cable Adaptor;0067490;4;6;STANDARD;CN;0;STUECK;1;USD;3,3;7,99;0;0;MONACOR;4007754209884;C113;;1;0,03;0,024;85444290900;;100;500;Nein;
ACC-168/100;Koaxial-Antennenkabel;Coaxial Cable;0150770;4;1;STANDARD;CN;0;STUECK;1;;35;57,9;0;0;ORG.MAKERS BRAND;4040849670183;C103;;1;4,88;4,88;85442000900;;2;4;Nein;
